AGRI,Crop,GW,P,SSEBop,SW,URBAN,WS_PA,WS_PA_EA,YEAR
0.023675546,0.0,0.0,35.111,22.0,0.0003747563,0.021668788,1.1294067,-1.0011699,2002
0.018439207,0.0,0.0,38.321,67.0,0.00024485332,0.020771652,1.1294067,-1.0011699,2002
0.017462593,0.0,0.0,38.769,4.0,0.000181051,0.018102674,1.1294067,-1.0011699,2002
0.020770486,0.0,0.0,39.507,0.0,0.00018314926,0.0145979095,1.1294067,-1.0011699,2002
0.027342465,0.0,0.0,39.565002,4.0,0.00024759394,0.011257212,1.1294067,-1.0011699,2002
0.035390027,0.0,0.0,41.417,12.0,0.00038075342,0.008754908,1.1294067,-1.0011699,2002
0.04283568,0.0,0.0,44.135,8.0,0.0006092387,0.007308426,1.1294067,-1.0011699,2002
0.04794931,0.0,0.0,45.974,6.0,0.00097466196,0.006837969,1.1294067,-1.0011699,2002
0.04991899,0.0,0.0,52.600998,35.0,0.0015376289,0.0072248615,1.1294067,-1.0011699,2002
0.04901755,0.0,0.0,60.563,48.0,0.00238177,0.008503673,1.1294067,-1.0011699,2002
0.04626332,0.0,0.0,60.25,41.0,0.0036164506,0.010866618,1.1294067,-1.0011699,2002
0.04280076,0.0,0.0,60.718,38.0,0.0053781504,0.014612152,1.1294067,-1.0011699,2002
0.039488938,0.0,0.0,70.694,41.0,0.007819772,0.020110784,1.1294067,-1.0011699,2002
0.036845516,0.0,0.0,79.312,6.0,0.011096641,0.02797515,1.1294067,-1.0011699,2002
0.035250388,0.0,0.0,81.746,107.0,0.015337062,0.039309748,1.1294067,-1.0011699,2002
0.035132542,0.0,0.0,83.888,44.0,0.020603385,0.055825774,1.1294067,-1.0011699,2002
0.03690693,0.0,0.0,90.274,32.0,0.0268482,0.07963883,1.1294067,-1.0011699,2002
0.04069058,0.0,0.0,91.464005,69.0,0.033875853,0.11268432,1.1294067,-1.0011699,2002
0.04597783,0.0,0.0,90.669,103.0,0.041347086,0.1560967,1.0168952,-1.0010151,2002
0.05153156,0.0,4.150278,87.317,5.0,0.048720874,0.20990497,1.0168952,-1.0010151,2002
0.055676337,0.0,20.386917,81.478,75.0,0.055393394,0.2731861,1.0168952,-1.0010151,2002
0.05690905,0.0,0.0,71.991005,6.0,0.060736824,0.344389,1.0168952,-1.0010151,2002
0.054538652,0.0,135.0495,60.731,19.0,0.06424556,0.42130038,1.0168952,-1.0010151,2002
0.04895184,0.0,95.46429,59.938,3.0,0.06560605,0.5004981,1.0168952,-1.0010151,2002
0.041394275,0.0,90.54462,60.278,0.0,0.06481817,0.57674843,1.0168952,-1.0010151,2002
0.033452556,0.0,0.44388002,61.291,0.0,0.06223544,0.64294696,1.0168952,-1.0010151,2002
0.0265782,0.0,13.349937,62.203,4.0,0.058557414,0.6910771,1.0168952,-1.0010151,2002
0.02177746,0.0,6.981739,63.508,0.0,0.05477137,0.7139627,1.0168952,-1.0010151,2002
0.019475833,0.0,1.3814533,65.637,9.0,0.052033465,0.707134,1.0415046,-1.007762,2002
0.019430667,0.0,144.54706,66.307,11.0,0.051619492,0.67011404,1.0415046,-1.007762,2002
0.020762153,0.0,85.25702,65.299,0.0,0.05477924,0.6066872,1.0415046,-1.007762,2002
0.022190198,0.0,0.0,77.199,111.0,0.06266534,0.52415425,1.0415046,-1.007762,2002
0.022502245,0.0,0.0,85.899,264.0,0.07626604,0.43178806,1.0277218,-0.9961791,2002
0.021029986,0.0,0.0,78.265,223.0,0.09634482,0.33895805,1.0277218,-0.9961791,2002
0.017873423,0.0,0.0,69.803,23.0,0.12337289,0.25344566,1.0277218,-0.9961791,2002
0.013750753,0.0,70.764824,65.095,271.0,0.15744224,0.18043515,1.0277218,-0.9961791,2002
0.009568729,0.0,0.0,82.251,241.0,0.19815634,0.12226085,1.0277218,-0.9961791,2002
0.03115588,0.0,0.0,29.178,0.0,0.00039836523,0.01304754,1.0455717,-1.0036525,2002
0.02445056,0.0,0.0,30.582,0.0,0.00025781515,0.013849858,1.0455717,-1.0036525,2002
0.021559838,0.0,0.0,36.444,4.0,0.00018766471,0.013277739,1.1294067,-1.0011699,2002
0.0239523,0.0,0.0,39.313,1.0,0.00017267028,0.011598449,1.1294067,-1.0011699,2002
0.031751446,0.0,0.0,39.28,0.0,0.00022022596,0.009426316,1.1294067,-1.0011699,2002
0.043666713,0.0,0.0,39.558002,93.0,0.00033440097,0.0074261944,1.1294067,-1.0011699,2002
0.057184786,0.0,0.0,43.904,0.0,0.00052911416,0.006062867,1.1294067,-1.0011699,2002
0.06923069,0.0,0.0,43.420998,0.0,0.0008347686,0.0055174353,1.1294067,-1.0011699,2002
0.07719782,0.0,0.0,45.291,84.0,0.0012929403,0.0057865335,1.1294067,-1.0011699,2002
0.079926684,0.0,0.0,58.248997,10.0,0.0019581441,0.006840925,1.1294067,-1.0011699,2002
0.0780278,0.0,0.0,58.126,12.0,0.002899459,0.008740801,1.1294067,-1.0011699,2002
0.073346406,0.0,0.0,57.631,71.0,0.0042012963,0.011634549,1.1294067,-1.0011699,2002
0.067942984,0.0,0.0,58.427998,18.0,0.0059633055,0.015787134,1.1294067,-1.0011699,2002
0.06332558,0.0,0.0,67.97,71.0,0.0082928445,0.021676833,1.1294067,-1.0011699,2002
0.060277022,0.0,0.0,76.24,0.0,0.011294582,0.030292217,1.1294067,-1.0011699,2002
0.05914358,0.0,0.0,77.106,5.0,0.015049543,0.043395795,1.1294067,-1.0011699,2002
0.060205135,0.0,0.0,84.315,0.0,0.019586794,0.06350435,1.1294067,-1.0011699,2002
0.06372773,0.0,0.0,85.283,5.0,0.02485093,0.093408376,1.1294067,-1.0011699,2002
0.069684185,0.0,0.0,82.987,3.0,0.030672891,0.13531837,1.1294067,-1.0011699,2002
0.077343956,0.0,0.192348,81.711,0.0,0.03678159,0.1901116,1.0168952,-1.0010151,2002
0.08508543,0.0,0.0,79.034,18.0,0.042735487,0.25708494,1.0168952,-1.0010151,2002
0.09072367,0.0,70.31849,77.219,5.0,0.048060074,0.33430803,1.0168952,-1.0010151,2002
0.09227035,0.0,190.05365,65.478,377.0,0.052263983,0.41917986,1.0168952,-1.0010151,2002
0.088765204,0.0,467.28833,57.135002,268.0,0.054968067,0.5085764,1.0168952,-1.0010151,2002
0.08063462,0.0,240.9647,57.291,322.0,0.055946797,0.5984072,1.0168952,-1.0010151,2002
0.069446035,0.0,182.95845,57.527,35.0,0.05524959,0.68303365,1.0168952,-1.0010151,2002
